Comment,Designator,Footprint
ATtiny85V-10S,CI1,SOIC-8_5.3x5.3mm_P1.27mm
ULN2803A,CI2,SOIC-18W_7.5x11.6mm_P1.27mm
74HC595,CI3,SOIC-16_3.9x9.9mm_P1.27mm
LED,D1,LED_0402_1005Metric
LED,D2,LED_0402_1005Metric
LED,D3,LED_0402_1005Metric
LED,D4,LED_0402_1005Metric
LED,D5,LED_0402_1005Metric
LED,D6,LED_0402_1005Metric
LED,D7,LED_0402_1005Metric
LED,D8,LED_0402_1005Metric
PinHeader_1x10_P2.54mm_Vertical,J1,PinHeader_1x10_P2.54mm_Vertical
PinSocket_1x05_P2.54mm_Vertical,J2,PinSocket_1x05_P2.54mm_Vertical
PinHeader_1x06_P2.54mm_Vertical,J3,PinHeader_1x06_P2.54mm_Vertical
R_0402_1005Metric,R1,R_0402_1005Metric
R_0402_1005Metric,R2,R_0402_1005Metric
R_0402_1005Metric,R3,R_0402_1005Metric
R_0402_1005Metric,R4,R_0402_1005Metric
R_0402_1005Metric,R5,R_0402_1005Metric
R_0402_1005Metric,R6,R_0402_1005Metric
R_0402_1005Metric,R7,R_0402_1005Metric
R_0402_1005Metric,R8,R_0402_1005Metric
R_0402_1005Metric,R9,R_0402_1005Metric
RESET,SW1,SW_Push_SPST_NO_Alps_SKRK
